Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Kenya,KEN,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Tanzania,TZA,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Uganda,UGA,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Rwanda,RWA,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Burundi,BDI,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,South Sudan,SSD,1,1,1
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,Somalia,SOM,0,0,0
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,"Congo, Dem. Rep.",COD,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Kenya,KEN,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Tanzania,TZA,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Uganda,UGA,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Rwanda,RWA,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Burundi,BDI,0,0,0
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,South Sudan,SSD,1,1,1
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,Somalia,SOM,0,0,0
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,"Congo, Dem. Rep.",COD,0,0,0
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Kenya,KEN,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Tanzania,TZA,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Uganda,UGA,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Rwanda,RWA,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Burundi,BDI,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,South Sudan,SSD,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,Somalia,SOM,1,1,1
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,"Congo, Dem. Rep.",COD,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Kenya,KEN,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Tanzania,TZA,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Uganda,UGA,1,1,1
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,Rwanda,RWA,1,1,1
